"year","gdp_chng","exprt_chng","unemp_chng","prices_chng"
2016,2,-3.96552,-0.4,1.27518
2015,1.9,2.59434,-0.9,0.11956
2014,2.5,3.41463,-1.2,1.61194
2013,2.7,-13.02811,-0.7,1.46481
2012,1.3,-2.46552,-0.8,2.07315
2011,1.7,13.12658,-0.7,3.13973
2010,2.7,29.66616,0.3,1.63633
2009,-0.2,-45.31877,3.5,-0.32009
2008,-2.7,0.64022,1.2,3.81492
2007,1.9,-6.79725,0.01,2.87064
2006,2.4,6.89129,-0.5,3.22174
2005,3,16.47287,-0.4,3.36619
2004,3.1,22.93032,-0.5,2.66739
2003,4.4,18.10082,0.2,2.29781
2002,2.1,15.6767,1.1,1.59567
2001,0.2,-1.8893,0.7,2.81662
2000,3,46.45362,-0.2,3.36709
1999,4.7,57.71358,-0.3,2.19314
1998,5,59.5098,-0.4,1.5468
1997,4.4,5.80913,-0.5,2.33778
1996,4.5,7.34967,-0.2,2.93668
1995,2.3,-2.91892,-0.5,2.80519
1994,4.2,41.87117,-0.8,2.5956
1993,2.7,87.89625,-0.6,2.96989
1992,4.3,21.32867,0.6,3.04112
1991,1.2,-63.28626,1.3,4.21635
1990,0.7,-10.14994,0.3,5.41866
1989,2.8,-20.74954,-0.2,4.79138
1988,3.9,-24.44751,-0.7,4.09974
1987,4.5,9.78014,-0.8,3.5782
1986,3,15.70175,-0.2,1.94424
1985,4.3,11.00292,-0.3,3.52823
1984,5.7,99.03101,-2.1,4.36822
1983,7.8,158,-0.1,3.15954
1982,-1.3,60,2.1,6.15838
1981,1.4,-4.58015,0.4,10.37835
1980,0.1,-41.77778,1.3,13.50178
1979,1.3,-11.41732,-0.2,11.25195
1978,6.9,9.95671,-1,7.62987
1977,5,1343.75,-0.6,6.47076
1976,4.4,-110,-0.8,5.77427
1975,2.7,-2100,2.9,9.14086
1974,-1.9,-119.5122,0.7,11.01182
1973,4.1,-220.58824,-0.7,6.25957
1972,6.9,-666.66667,-0.4,3.27298
1971,4.5,-85,1,4.22481
1970,-0.1,185.71429,1.5,5.88556
1969,2.1,0.01,-0.1,5.43516
1968,5,-61.11111,-0.2,4.24569
1967,2.7,-7.69231,0.01,2.78402
1966,4.6,-30.35714,-0.7,2.99099
1965,8.5,-18.84058,-0.7,1.57871
1964,5.2,40.81633,-0.4,1.3221
1963,5.2,19.5122,0.01,1.25607
1962,4.3,-16.32653,-1.1,1.17383
1961,6.4,16.66667,1.2,1.07149
1960,1,950,0.01,1.49228
1959,4.7,-20,-1.3,0.93141
1958,3,-87.80488,2.5,2.73183
1957,0.4,70.83333,0.2,3.39083
1956,2.1,380,-0.3,1.4741
1955,6.6,25,-1.2,-0.25684
1954,2.8,-157.14286,2.7,0.36237
1953,0.7,-158.33333,-0.1,0.75658
1952,5.5,-52,-0.3,2.28699
1951,5.5,257.14286,-1.9,7.9375
1950,13.5,-86.53846,-0.9,1.06682
1949,-1.4,-5.45455,2.3,-0.98149
